caldt,Value Weighted Return (incl. dividends),Value Weighted Return (ex dividends),S&P Composite Return
19751231,-0.010485,-0.012296,-0.011508
19760130,0.120143,0.118545,0.118306
19760227,-0.005756,-0.01162,-0.011402
19760331,0.03264,0.030786,0.030689
19760430,-0.00961,-0.010699,-0.010995
19760528,-0.008116,-0.015026,-0.014364
19760630,0.043959,0.042158,0.040926
19760730,-0.007202,-0.008454,-0.008055
19760831,0.001599,-0.004982,-0.005124
19760930,0.024421,0.02267,0.022641
19761029,-0.020211,-0.021995,-0.022235
19761130,-0.001041,-0.008628,-0.007775
19761231,0.053775,0.05217,0.052498
19770131,-0.049654,-0.051167,-0.05053
19770228,-0.015638,-0.0224,-0.02166
19770331,-0.012502,-0.014548,-0.014025
19770429,0.000641,-0.000503,0.000203
19770531,-0.015064,-0.023541,-0.023568
19770630,0.047776,0.045705,0.04536
19770729,-0.015453,-0.016589,-0.016222
19770831,-0.01231,-0.020221,-0.021042
19770930,-0.000825,-0.003084,-0.00248
19771031,-0.041984,-0.043869,-0.043406
19771130,0.036752,0.026953,0.026966
19771230,0.00557,0.003637,0.002847
19780131,-0.060643,-0.062611,-0.061514
19780228,-0.01626,-0.024938,-0.024762
19780331,0.026925,0.024356,0.024931
19780428,0.088964,0.087593,0.085416
19780531,0.013719,0.004436,0.004234
19780630,-0.016578,-0.018953,-0.017585
19780731,0.056974,0.055121,0.05391
19780831,0.033641,0.025563,0.025924
19780929,-0.005163,-0.007483,-0.007261
19781031,-0.08957,-0.092269,-0.091574
19781130,0.026771,0.0174,0.01664
19781229,0.016627,0.014264,0.014889
19790131,0.042697,0.040161,0.039746
19790228,-0.028649,-0.036958,-0.036526
19790330,0.057361,0.054825,0.055152
19790430,0.004183,0.002218,0.001673
19790531,-0.016818,-0.026303,-0.026336
19790629,0.040324,0.037792,0.038656
19790731,0.012051,0.009737,0.008746
19790831,0.061865,0.053222,0.053078
19790928,0.001416,-0.000872,0
19791031,-0.06556,-0.068517,-0.068606
19791130,0.052777,0.04357,0.042624
19791231,0.01834,0.015892,0.016767
19800131,0.061308,0.058935,0.057625
19800229,0.002611,-0.005574,-0.00438
19800331,-0.097518,-0.100096,-0.101795
19800430,0.042394,0.039877,0.04114
19800530,0.05556,0.046651,0.046571
19800630,0.029722,0.026895,0.026969
19800731,0.0682,0.06563,0.065039
19800829,0.013454,0.00603,0.005835
19800930,0.027935,0.025155,0.025168
19801031,0.017809,0.014742,0.016021
19801128,0.10991,0.103015,0.102377
19801231,-0.030634,-0.033006,-0.033874
19810130,-0.04337,-0.045036,-0.045742
19810227,0.021267,0.013492,0.013277
19810331,0.038285,0.035426,0.036033
19810430,-0.020211,-0.021967,-0.023456
19810529,0.006539,-0.001124,-0.001657
19810630,-0.008255,-0.01118,-0.010408
19810731,0.000714,-0.000946,-0.00221
19810831,-0.05554,-0.063659,-0.062099
19810930,-0.050466,-0.0535,-0.053832
19811030,0.052115,0.048694,0.049148
19811130,0.043827,0.035918,0.03659
19811231,-0.027059,-0.029745,-0.030075
19820129,-0.015367,-0.016874,-0.017544
19820226,-0.050441,-0.059588,-0.060548
19820331,-0.006805,-0.010463,-0.010167
19820430,0.04155,0.040063,0.040014
19820528,-0.029505,-0.039834,-0.039162
19820630,-0.015779,-0.018934,-0.02029
19820730,-0.020199,-0.022058,-0.022991
19820831,0.127402,0.116647,0.115977
19820930,0.010496,0.007717,0.007614
19821029,0.113863,0.111235,0.110364
19821130,0.045754,0.037554,0.036123
19821231,0.016835,0.014676,0.015158
19830131,0.035293,0.033317,0.033134
19830228,0.025733,0.018539,0.018995
19830331,0.03547,0.032459,0.033095
19830429,0.075719,0.074655,0.074922
19830531,-0.005687,-0.0121,-0.012346
19830630,0.03697,0.033719,0.035224
19830729,-0.031238,-0.032321,-0.033014
19830831,0.015864,0.009484,0.011319
19830930,0.014105,0.010838,0.010158
19831031,-0.013108,-0.014695,-0.015174
19831130,0.023846,0.017363,0.017426
19831230,-0.005749,-0.008699,-0.008834
19840131,-0.003898,-0.005657,-0.009216
19840229,-0.034034,-0.039505,-0.038859
19840330,0.017295,0.013714,0.013498
19840430,0.006781,0.005229,0.005466
19840531,-0.053131,-0.059544,-0.059356
19840629,0.022937,0.018709,0.017469
19840731,-0.013765,-0.015641,-0.016451
19840831,0.112438,0.105753,0.106332
19840928,-0.000064,-0.003292,-0.00348
19841031,0.003331,0.000216,-0.00006
19841130,-0.009841,-0.01495,-0.015112
19841231,0.025556,0.021843,0.022374
19850131,0.076868,0.074737,0.074085
19850228,0.014166,0.008886,0.008685
19850329,-0.000636,-0.00398,-0.002925
19850430,-0.003704,-0.005413,-0.004594
19850531,0.06274,0.056847,0.054051
19850628,0.016065,0.012925,0.012134
19850731,-0.003321,-0.005235,-0.004848
19850830,-0.006473,-0.011871,-0.011995
19850930,-0.033248,-0.036197,-0.034724
19851031,0.045079,0.042653,0.042509
19851129,0.071887,0.06663,0.065062
19851231,0.048156,0.045156,0.045061
19860131,0.004706,0.002962,0.002367
19860228,0.076525,0.071556,0.071489
19860331,0.055832,0.05332,0.052794
19860430,-0.013348,-0.015054,-0.014148
19860530,0.055326,0.050804,0.050229
19860630,0.015744,0.01331,0.01411
19860731,-0.057541,-0.059378,-0.058683
19860829,0.074417,0.070076,0.071193
19860930,-0.083243,-0.085664,-0.085439
19861031,0.056538,0.053813,0.054729
19861128,0.024876,0.019717,0.021477
19861231,-0.027513,-0.030174,-0.028288
19870130,0.135183,0.133724,0.131767
19870227,0.041778,0.037845,0.036924
19870331,0.026336,0.023832,0.02639
19870430,-0.009045,-0.011093,-0.01145
19870529,0.009128,0.005199,0.006034
19870630,0.05014,0.047654,0.047915
19870731,0.049843,0.047883,0.048224
19870831,0.039108,0.035441,0.034959
19870930,-0.02194,-0.024079,-0.024166
19871030,-0.215795,-0.217944,-0.21763
19871130,-0.081874,-0.086541,-0.085349
19871231,0.073922,0.071025,0.072861
19880129,0.042712,0.041086,0.040432
19880229,0.047445,0.040574,0.041817
19880331,-0.030847,-0.033368,-0.033343
19880429,0.010516,0.008773,0.009425
19880531,0.008012,0.002882,0.003176
19880630,0.047676,0.045068,0.043256
19880729,-0.004458,-0.007393,-0.005411
19880831,-0.032488,-0.03729,-0.0386
19880930,0.042739,0.040086,0.039729
19881031,0.026891,0.023328,0.025964
19881130,-0.014355,-0.01977,-0.018891
19881230,0.018553,0.015184,0.014688
19890131,0.072303,0.069633,0.071115
19890228,-0.025031,-0.029187,-0.028944
19890331,0.023038,0.02044,0.020806
19890428,0.051707,0.049899,0.05009
19890531,0.041022,0.035451,0.035138
19890630,-0.005611,-0.00794,-0.007925
19890731,0.090053,0.088194,0.08837
19890831,0.019853,0.015516,0.015517
19890929,-0.004004,-0.006616,-0.006544
19891031,-0.023639,-0.025668,-0.025175
19891130,0.020479,0.016641,0.016541
19891229,0.022657,0.019988,0.021417
19900131,-0.067661,-0.069407,-0.068817
19900228,0.013381,0.008986,0.008539
19900330,0.026588,0.02436,0.024255
19900430,-0.024504,-0.026508,-0.026887
19900531,0.097419,0.092408,0.091989
19900629,-0.006754,-0.008921,-0.008886
19900731,-0.004454,-0.006508,-0.005223
19900831,-0.090801,-0.094897,-0.094314
19900928,-0.048959,-0.051213,-0.051184
19901031,-0.003597,-0.00611,-0.006698
19901130,0.064561,0.059897,0.059934
